ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north
31,False,2011-07-24 21:00:00,2011-07-25 21:00:00,300034013615630,-29.78887,-29.81252,114.8601,114.88475,0.0008,-0.0031
32,False,2011-07-25 21:00:00,2011-07-26 21:00:00,300034013615630,-29.81252,-29.83885,114.88475,114.90874,0.0597,0.0084
30,False,2011-08-13 18:00:00,2011-08-14 18:00:00,300034013615150,-29.99409,-30.09363,114.84243,114.92193,0.1928,-0.3175
37,False,2011-08-28 13:00:00,2011-08-29 13:00:00,300234010308830,-14.63742,-14.65043,40.94602,40.89927,-0.4201,-0.3419
38,False,2011-08-29 13:00:00,2011-08-30 13:00:00,300234010308830,-14.65043,-14.69577,40.89927,40.84431,-0.0441,-0.2087
39,False,2012-07-22 11:00:00,2012-07-23 11:00:00,300234010409000,-1.16852,-0.40497,42.0306,42.60974,0.7758,1.0301
40,False,2012-07-23 11:00:00,2012-07-24 11:00:00,300234010409000,-0.40497,-0.13082,42.60974,42.80497,0.5431,0.6885
41,False,2012-07-24 11:00:00,2012-07-25 11:00:00,300234010409000,-0.13082,0.11532,42.80497,43.0273,0.2348,0.2612
42,False,2012-07-25 11:00:00,2012-07-26 11:00:00,300234010409000,0.11532,0.3841,43.0273,43.29858,0.326,0.3658
43,False,2012-07-26 11:00:00,2012-07-27 11:00:00,300234010409000,0.3841,0.84623,43.29858,43.75675,0.3724,0.3631
44,False,2012-07-27 11:00:00,2012-07-28 11:00:00,300234010409000,0.84623,1.54828,43.75675,44.55685,0.4475,0.4275
33,False,2012-08-28 12:00:00,2012-08-29 12:00:00,300234010057130,-30.99829,-30.97185,115.16,115.21,0.0882,0.0257
0,False,2012-11-13 17:00:00,2012-11-14 17:00:00,12469250,43.68025,43.68312,-66.255,-66.24095,0.1028,0.1358
183,False,2012-11-14 01:00:00,2012-11-15 01:00:00,300234011917940,62.55243,62.53833,-42.05207,-41.90155,0.0641,0.0142
193,False,2013-02-04 13:00:00,2013-02-05 13:00:00,300234011934580,-16.92068,-17.06321,-142.98154,-143.05286,-0.225,-0.1913
194,False,2013-02-06 12:00:00,2013-02-07 12:00:00,300234011938590,-18.67172,-18.85654,-138.8056,-138.91542,-0.2512,-0.1407
168,False,2013-07-06 15:00:00,2013-07-07 15:00:00,300234011915950,61.72789,61.88303,-7.07536,-6.92716,0.1321,0.0226
169,False,2013-07-07 15:00:00,2013-07-08 15:00:00,300234011915950,61.88303,61.80044,-6.92716,-6.45644,0.174,0.2184
170,False,2013-08-03 20:00:00,2013-08-04 20:00:00,300234011915950,61.32548,61.42441,-6.84546,-6.81619,-0.0213,0.332
171,False,2013-08-17 09:00:00,2013-08-18 09:00:00,300234011915950,62.00312,62.20968,-7.60099,-7.37128,-0.0532,0.1029
172,False,2013-08-18 09:00:00,2013-08-19 09:00:00,300234011915950,62.20968,62.05861,-7.37128,-7.01367,0.3617,-0.1758
173,False,2013-08-19 09:00:00,2013-08-20 09:00:00,300234011915950,62.05861,62.0585,-7.01367,-7.42368,-0.055,-0.3243
174,False,2013-08-20 09:00:00,2013-08-21 09:00:00,300234011915950,62.0585,62.15465,-7.42368,-7.46431,-0.05,0.1376
82,False,2013-09-08 14:00:00,2013-09-09 14:00:00,300234011274030,-52.70546,-52.68988,169.04437,169.26411,0.4393,0.1348
164,False,2013-11-01 17:00:00,2013-11-02 17:00:00,300234011912500,66.57345,66.48895,-17.73486,-18.14955,-0.3107,-0.2358
36,False,2013-11-16 13:00:00,2013-11-17 13:00:00,300234010169390,53.82502,53.65862,-133.31209,-133.0382,0.1834,-0.2696
45,False,2013-11-30 16:00:00,2013-12-01 16:00:00,300234011026600,71.16174,71.06991,24.50353,25.02348,0.3442,0.0118
46,False,2013-12-01 16:00:00,2013-12-02 16:00:00,300234011026600,71.06991,70.97401,25.02348,25.27368,0.1011,-0.3044
195,False,2013-12-06 18:00:00,2013-12-07 18:00:00,300234011938590,-15.91419,-15.93005,168.39645,168.3312,-0.3254,-0.1146
196,False,2013-12-07 18:00:00,2013-12-08 18:00:00,300234011938590,-15.93005,-15.6269,168.3312,168.27922,0.0363,0.1815
