ID,ID,ID.1,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north,wind10m_abs_mean,wind10m_u_mean,wind10m_v_mean,wind10m_abs_max,wind10m_u_max,wind10m_v_max,wind10m_abs_min,wind10m_u_min,wind10m_v_min,wind10m_abs_std,wind10m_u_std,wind10m_v_std,shore_rmsd,shortest_distance,shortest_distance_e,shortest_distance_n,score_shore_22deg_14km,score_bedrock_22deg_14km,score_wetland_22deg_14km,score_beach_22deg_14km,score_shore_45deg_10km,score_bedrock_45deg_10km,score_wetland_45deg_10km,score_beach_45deg_10km,score_shore_60deg_9km,score_bedrock_60deg_9km,score_wetland_60deg_9km,score_beach_60deg_9km,score_shore_90deg_7km,score_bedrock_90deg_7km,score_wetland_90deg_7km,score_beach_90deg_7km,score_shore_180deg_5km,score_bedrock_180deg_5km,score_wetland_180deg_5km,score_beach_180deg_5km,score_shore_270deg_4km,score_bedrock_270deg_4km,score_wetland_270deg_4km,score_beach_270deg_4km,score_shore_360deg_10km,score_bedrock_360deg_10km,score_wetland_360deg_10km,score_beach_360deg_10km,score_shore_360deg_8km,score_bedrock_360deg_8km,score_wetland_360deg_8km,score_beach_360deg_8km,score_shore_360deg_5km,score_bedrock_360deg_5km,score_wetland_360deg_5km,score_beach_360deg_5km,score_shore_360deg_2km,score_bedrock_360deg_2km,score_wetland_360deg_2km,score_beach_360deg_2km,inproduct_wind_nearest_shore,m2_tidal_elevation_mm,m4_tidal_elevation_mm,s2_tidal_elevation_mm,n2_tidal_elevation_mm,k1_tidal_elevation_mm,k2_tidal_elevation_mm,o1_tidal_elevation_mm,p1_tidal_elevation_mm,q1_tidal_elevation_mm
0,0,31,False,2011-07-24 21:00:00,2011-07-25 21:00:00,300034013615630,-29.78887,-29.81252,114.8601,114.88475,0.0008,-0.0031,6.2695794105529785,1.3622268438339231,-3.0855419635772705,7.832207679748535,6.090100288391113,6.656955718994141,3.1201443672180176,-4.391861915588379,-7.757655143737793,1.204485535621643,3.02258825302124,4.499571800231934,2844.9944,10619.942,-10431.305,-1992.7555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7590504989238434,35,-4,22,0,-166,8,-115,-53,-27
1,1,32,False,2011-07-25 21:00:00,2011-07-26 21:00:00,300034013615630,-29.81252,-29.83885,114.88475,114.90874,0.0597,0.0084,2.1832284927368164,0.0108612151816487,1.2142285108566284,3.2776598930358887,2.507018566131592,2.946095943450928,1.1348282098770142,-2.383504629135132,-1.311270236968994,0.5497406721115112,1.431488871574402,1.243009328842163,2632.7144,8298.024,-8141.7964,-1602.6108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533973,0.0,0.0,0.5579842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2451626404737842,36,-4,22,0,-166,8,-115,-53,-27
2,2,30,False,2011-08-13 18:00:00,2011-08-14 18:00:00,300034013615150,-29.99409,-30.09363,114.84243,114.92193,0.1928,-0.3175,6.772739887237549,6.26442813873291,0.2602106928825378,11.08208465576172,10.973094940185549,4.349542617797852,2.5791244506835938,2.5146913528442383,-4.135781764984131,2.722257137298584,2.9415881633758545,2.3058576583862305,4032.6687,9889.935,-9887.397,224.03502,5.4621835,0.0,0.0,0.0,0.042688057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042688057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.256926587905076,35,-4,22,-1,-166,8,-115,-53,-27
3,3,37,False,2011-08-28 13:00:00,2011-08-29 13:00:00,300234010308830,-14.63742,-14.65043,40.94602,40.89927,-0.4201,-0.3419,8.370794296264648,1.4798648357391355,8.05069637298584,9.276829719543455,4.296923637390137,9.209853172302246,7.366577625274658,-0.9236762523651124,6.551239013671875,0.5847520232200623,1.6587862968444824,0.8104623556137085,7225.592,11907.999,11477.373,3173.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571789915809808,971,2,191,196,104,60,76,32,18
4,4,38,False,2011-08-29 13:00:00,2011-08-30 13:00:00,300234010308830,-14.65043,-14.69577,40.89927,40.84431,-0.0441,-0.2087,9.250283241271973,2.417150020599365,8.801982879638672,9.944936752319336,5.139884471893311,9.70114040374756,8.800408363342285,0.2856600284576416,7.966470718383789,0.3313699960708618,1.435186743736267,0.5479728579521179,6355.894,6493.342,6273.1875,1676.4867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.432518,0.0,3.5273447,0.0,2.4170048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.607741808807111,970,2,190,195,103,60,76,32,17
5,5,39,False,2012-07-22 11:00:00,2012-07-23 11:00:00,300234010409000,-1.16852,-0.40497,42.0306,42.60974,0.7758,1.0301,8.584166526794434,0.7520571947097778,8.498917579650879,9.7169828414917,2.8019399642944336,9.664632797241213,7.316431522369385,-0.9075180292129515,7.2800984382629395,0.5888123512268066,0.9553400278091432,0.5698608756065369,1727.4827,9937.993,8922.925,-4375.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011650131,0.0006442797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.066673081344843,819,-5,206,163,203,58,117,61,25
6,6,40,False,2012-07-23 11:00:00,2012-07-24 11:00:00,300234010409000,-0.40497,-0.13082,42.60974,42.80497,0.5431,0.6885,6.951295375823975,0.7572612762451172,6.87637186050415,8.694988250732422,1.4865727424621582,8.588850975036621,5.879584789276123,-0.4905753135681152,5.734091758728027,0.8604611158370972,0.6672988533973694,0.8704403638839722,2177.7007,5562.1704,3406.4878,-4396.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8321817,0.0,0.0,0.0,2.203635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53386,0.0,33.079613,55.67641,11.1606245,0.0,6.26739,16.63466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.972120635372406,787,-5,199,157,206,56,118,62,26
7,7,41,False,2012-07-24 11:00:00,2012-07-25 11:00:00,300234010409000,-0.13082,0.11532,42.80497,43.0273,0.2348,0.2612,9.057380676269531,0.7246434092521667,9.018512725830078,9.625595092773438,1.3933496475219729,9.622663497924805,8.447437286376953,-0.2375414371490478,8.409839630126953,0.3379188776016235,0.4218395948410034,0.3372123539447784,74.11381,3607.9348,1484.0001,-3288.6072,3.006257,0.0,0.0,6.03675,3.1663504,0.0,0.0,6.3707047,2.6925726,0.0,0.0,5.433866,2.026325,0.0,0.0,4.8227177,0.5492616,0.0,0.0,3.0671656,0.22321565,0.0,0.0,0.8699741,7.484083,0.0,0.0,16.126492,3.1002893,0.0,0.0,9.90559,0.5492616,0.0,0.0,3.0682502,0.0,0.0,0.0,0.0,-7.922253656126108,777,-5,195,154,207,55,119,62,26
8,8,42,False,2012-07-25 11:00:00,2012-07-26 11:00:00,300234010409000,0.11532,0.3841,43.0273,43.29858,0.326,0.3658,9.088752746582031,2.2022390365600586,8.8065767288208,9.617241859436035,2.8695521354675293,9.49761199951172,8.724210739135742,1.3667144775390625,8.380718231201172,0.2699426114559173,0.3964712917804718,0.3397870659828186,110.12077,2235.4856,1369.2297,-1767.0897,5.2117395,0.0,0.0,4.5255756,4.9464054,0.0,0.0,5.4222903,6.258434,0.0,0.0,4.71744,4.8667583,0.0,0.0,3.7936974,5.57844,0.0,0.0,3.579512,4.84979,0.0,0.0,3.0071573,26.708057,0.0,0.0,17.295433,17.891794,0.0,0.0,11.627662,8.291337,0.0,0.0,5.433606,0.3336201,0.0,0.0,0.0,-5.612489773782617,761,-5,193,152,208,54,119,62,26
9,9,43,False,2012-07-26 11:00:00,2012-07-27 11:00:00,300234010409000,0.3841,0.84623,43.29858,43.75675,0.3724,0.3631,6.932525157928467,2.1161048412323,6.570220470428467,8.123398780822754,2.8173060417175293,7.954174518585205,5.396632671356201,1.5511116981506348,4.801348686218262,0.7874621152877808,0.4025282561779022,0.933956503868103,77.5616,4441.8086,3787.5344,-2320.3984,7.1490655,0.0,0.0,2.9373894,3.3606987,0.0,0.0,1.4537847,1.9836814,0.0,0.0,1.4704536,1.0091712,0.0,0.0,1.3973131,0.81254625,0.0,0.0,0.28554726,0.0,0.0,0.0,0.0,16.054522,0.0,0.0,14.433468,7.173231,0.0,0.0,6.988782,0.81254625,0.0,0.0,0.28554726,0.0,0.0,0.0,0.0,-1.627875049183853,746,-4,190,149,210,53,120,62,26
